Narration,Category
imps-rev/215113797302/yesb0vca003/042500000101,IMPS BOUNCED
imps-rev/215114798000/yesb0vca003/042500000101,IMPS BOUNCED
imps-rev/215116809803/yesb0vca003/042500000101,IMPS BOUNCED
imps-rev/216116450423/yesb0vca003/040100096601,IMPS BOUNCED
imps-rev/227613723808/yesb0vca003/040100096601,IMPS BOUNCED
surat -ring road return-imps/225318223531/jay/bankof baroda/xx0112,IMPS BOUNCED
imps-in/214704754423/0000000000/asmr ret,IMPS BOUNCED
imps-in/214818166040/0000000000/asmr ret,IMPS BOUNCED
imps-in/214922495297/0000000000/asmr ret,IMPS BOUNCED
imps-in/215005885151/0000000000/asmr ret,IMPS BOUNCED
imps-in/215315621787/0000000000/asmr ret,IMPS BOUNCED
imps-in/215414855329/0000000000/asmr ret,IMPS BOUNCED
imps-in/215414855534/0000000000/asmr ret,IMPS BOUNCED
imps-in/215613173683/0000000000/asmr ret,IMPS BOUNCED
imps-in/215220198635/0000000000/asmr ret,IMPS BOUNCED
imps-in/215220200169/0000000000/asmr ret,IMPS BOUNCED
imps-in/215221417465/0000000000/asmr ret,IMPS BOUNCED
rev-imps-306811123401-sv rubber industri 0000306811123401 es-sbin-xxxxxxx7472-payment,IMPS BOUNCED
rev:imps 1342102000009140 ref313018313609,IMPS BOUNCED
imps-rib/ft-rev/227621390160/017003800004034rnsb/,IMPS BOUNCED
imps/p2a/917622218552/sameerkh/iciciban/return,IMPS BOUNCED
rev-imps-210615316601-miss afsarun izhar khan 7872-barb-xxxxxxxxxx4160-izharkhan 7872 driver salery paid,IMPS BOUNCED
rev-imps-211014385560-miss afsarun izhar khan 7872-barb-xxxxxxxxxx4160-izharkhan 7872 driver salery paid,IMPS BOUNCED
rev-imps-212014354270-noori transport co axis bank-utib-xxxxxxxxxxx4640-bpr00470 6874640 axis bl overdue paid,IMPS BOUNCED
rev-imps-217900350599-miss afsarun izhar khan 7872-barb-xxxxxxxxxx4160-izhar 7872 driver salery paid may22,IMPS BOUNCED
imps-223210379099-ganesh polychem ltd-sb in-xxxxxxx6859-excess payment return of 24082021,IMPS BOUNCED
imps-233614348581-noori petroleum chavan d-barb-xxxxxxxxxx0559-from noori transpo rt co ln,UNCA
rev-imps-235813395821-shahnaj bano maksu d 6882-barb-xxxxxxxxxx5867-maksud 6882 d river salery paid nov22,IMPS BOUNCED
rev imps-301016244143-punb-xxxxxxxxxx1636-diamond tmt,IMPS BOUNCED
rev imps-301017252452-punb-xxxxxxxxxx1636-diamond tmt,IMPS BOUNCED
imps ret 309015319561,IMPS BOUNCED
imps o/w rev(p2a)121119 1612rrno:931616685008 /,IMPS BOUNCED
imps o/w rev(p2a)151119 1744rrno:931917809384 /,IMPS BOUNCED
imps o/w rev(p2a)221119 1359rrno:932613158335 /,IMPS BOUNCED
imps o/w rev(p2a)291119 0931rrno:933309396631 /,IMPS BOUNCED
imps o/w rev(p2a)101219 1538rrno:934415936034 /,IMPS BOUNCED
imps rev 934719211258_dt_13-12-2019 //,IMPS BOUNCED
imps rev 934719211436_dt_13-12-2019 //,IMPS BOUNCED
imps rev/002018336951/,IMPS BOUNCED
imps rev/002018336970/,IMPS BOUNCED
imps rev/002018337019/,IMPS BOUNCED
rev:imps 7249001700017750 ref117510300094,IMPS BOUNCED
rev:imps 2319001700064955 ref117510301659,IMPS BOUNCED
t rev-imps/p2a/206218142359/50680100015697barb/batchmukeshkumar,IMPS BOUNCED
rev/imps-p2a/113318148426/041136401004796/14/05/2021=00010591,IMPS BOUNCED
rev/imps-p2a/113318116621/041136401004796/14/05/2021=00010591,IMPS BOUNCED
rev/imps-p2a/121717370718/041136401004796/05/08/2021=00010591,IMPS BOUNCED
imps-201714128073-jitendra maheshbhai si tapara-hdfc-xxxxxxxxxx9833-it return,IMPS BOUNCED
rev-imps-206010337253-amipara monil chan dubhai-sbin-xxxxxxx1980-family,IMPS BOUNCED
rev-imps-206012359785-yakshina industrie s-sbin-xxxxxxx0743-family,IMPS BOUNCED
rev-imps-205613361070-nathabhai mamadbha i-barb-xxxxxxxxxx2549-milk,IMPS BOUNCED
imps-128921882122-sbin-xxxxxxx4202-dr cp return pa,IMPS BOUNCED
rev imps-130216182382-barb-xxxxxxxxxx5027-money tr,IMPS BOUNCED
rev imps-200319938729-indb-xxxxxxxx0624-money tran,IMPS BOUNCED
rev imps-202920715965-sbin-xxxxxxx4202-money trans,IMPS BOUNCED
rev imps-202920716158-sbin-xxxxxxx4202-money trans,IMPS BOUNCED
imps-201513372256-dharmesh harishbhai go hel-ubin-xxxxxxxxxx1852-return entry,IMPS BOUNCED
rev-imps-201513372256-dharmesh harishbha i gohel-ubin-xxxxxxxxxx1852-return entry,IMPS BOUNCED
imps-201513377641-dharmesh harishbhai go hel-ubin-xxxxxxxxxx1852-return entry,IMPS BOUNCED
rev-imps-201513377641-dharmesh harishbha i gohel-ubin-xxxxxxxxxx1852-return entry,IMPS BOUNCED
imps-201517300514-gohel dharmesh harishb hai-ubin-xxxxxxxxxx1852-return entry,IMPS BOUNCED
rev-imps-201517300514-gohel dharmesh har ishbhai-ubin-xxxxxxxxxx1852-return entry,IMPS BOUNCED
rev-imps-201522103482-gohel dharmesh har ishbhai-ubin-xxxxxxxxxx1852-inr,IMPS BOUNCED
imps-201523316802-gohel haribhai tulsibh ai-ubin-xxxxxxxxxxx1852-return entry,IMPS BOUNCED
imps-201622399877-gohel haribhai tulsibh ai-ubin-xxxxxxxxxxx1852-return entry,IMPS BOUNCED
imps-201912351672-gohel haribhai tulsibh ai-ubin-xxxxxxxxxxx1852-return entry,IMPS BOUNCED
imps-202011388152-gohel haribhai tulsibh ai-ubin-xxxxxxxxxxx1852-return entry,IMPS BOUNCED
imps-202323350103-aniruddh ajitbhai puro hit-sbin-xxxxxxx0238-return entry,IMPS BOUNCED
imps-202412384538-gohel haribhai tulsibh ai-ubin-xxxxxxxxxxx1852-return entry,IMPS BOUNCED
imps-203019350856-aniruddh ajitbhai puro hit-sbin-xxxxxxx0238-return entry,IMPS BOUNCED
imps-204207328621-aniruddh ajitbhai puro hit-sbin-xxxxxxx0238-return entry,IMPS BOUNCED
imps-207811306177-aniruddh ajitbhai puro hit-sbin-xxxxxxx0238-return entry,IMPS BOUNCED
 rev:imps 37857418384 ref  116811880192 ,IMPS BOUNCED
 rev:imps 37857418384 ref  116811882256 ,IMPS BOUNCED
 rev:imps 791255878752 ref  122417272249 ,IMPS BOUNCED
 rev:imps 90290200000731 ref  132620410919deposit ,IMPS BOUNCED
 rev:imps 0010110100000399 ref  202213494763 ,IMPS BOUNCED
 rev:imps 0858008700000895 ref  213614620745 ,IMPS BOUNCED
imps/p2a/130518342287/gondaliy/hdfcbank/return,IMPS BOUNCED
rev-imps-200323350855-shrenik sanghavi-i ndb-xxxxxxxx6633-transfer,IMPS BOUNCED
rev-imps-200323355044-shrenik sanghavi-i ndb-xxxxxxxx6633-transfer,IMPS BOUNCED
rev-imps-200401375515-shrenik sanghavi-i ndb-xxxxxxxx6633-transfer,IMPS BOUNCED
rev-imps-200401375617-hemali sadhani-ind b-xxxxxxxx6655-transfer,IMPS BOUNCED
rev-imps-111618358856-orix packaging pvt ltd-yesb-xxxxxxxxxx0341-percheg,IMPS BOUNCED
rev-imps-127416300589-jay balaji plastic -utib-xxxxxxxxxxx1318-percheg,IMPS BOUNCED
rev-imps-132111377124-tirupati polyplast -barb-xxxxxxxxx0237-percheg,IMPS BOUNCED
rev-imps-133813366884-friends polytech p vt ltd-ibkl-xxxxxxxxxxxx0055-percheg,IMPS BOUNCED
rev-imps-134315370868-friends polytech p vt ltd-ibkl-xxxxxxxxxxxx0055-percheg,IMPS BOUNCED
rev-imps-134612319254-tirupati polyplast -barb-xxxxxxxxx0237-percheg,IMPS BOUNCED
rev-imps-134613346987-tirupati polyplast -barb-xxxxxxxxxxx6237-percheg,IMPS BOUNCED
rev-imps-201016338027-crystal polymers-k ccb-xxxxxxx0004-percheg,IMPS BOUNCED
rev-imps-201016337545-crown containers-u bin-xxxxxxxxxxx0081-percheg,IMPS BOUNCED
rev/imps-p2a/203813405980/916010027599283/07/02/2022=00010591,IMPS BOUNCED
rev/imps-p2a/206619424228/573050016977/08/03/2022=00010591000,IMPS BOUNCED
rev/imps-p2a/206619259359/573050016977/08/03/2022=00010591000,IMPS BOUNCED
abb fr br 1 rev/imps-p2a/207413466808/3564479726/15/03/2022=0,IMPS BOUNCED
abb fr br 1 rev/imps-p2a/210613350018/50100312915740/16/04/20,IMPS BOUNCED
abb fr br 1 rev/imps-p2a/216516271016/573050016977/14/06/2022,IMPS BOUNCED
n limited-kccb-xxxxxxx2736-payment rev-imps-807816339259-phd trading corpor,IMPS BOUNCED
n limited-kccb-xxxxxxx2736-payment rev-imps-807819384482-phd trading corpor,IMPS BOUNCED
chq dep ret- funds insufficient imps-814318386619-amitkumar p singh-sbin,IMPS BOUNCED
chq dep ret chgs 230518-mir1814516896292 .imps p2p 814318386619#23/05/2018 240518,IMPS BOUNCED
i/w chq return-inward transfer 1-rajkot imps-815617323465-ashishbhai-hdfc-xxxxxx,IMPS BOUNCED
xxxxx6088-unique to jalpa cosmos rev-imps-823612333683-jalpa radadia-cosb,IMPS BOUNCED
xxxxx6088-payment rev-imps-823612333954-jalpa radadia-cosb,IMPS BOUNCED
bk-xxxxxx5794-unique to dpr rev-imps-830823336145-dushyant p radadiy,IMPS BOUNCED
xxxxxx0809-payment rev-imps-836218115645-dev abrasive-barb-,IMPS BOUNCED
-xxxxxxx5309-payment rev-imps-900311314919-nanbachcha shaikh-,IMPS BOUNCED
xxxxxxxxx4702-payment rev-imps-902219365792-snt industries-and,IMPS BOUNCED
sb-xxxxxxxxxxx4705-payment rev-imps-903518333481-hetal rishi parsan,IMPS BOUNCED
imps-005322352985-sunil kumar-punb-xxxxx 0000005322352985 xxxxxxx8732-return,IMPS BOUNCED
imps-922620974393-ram babu chhipa-hdfc-x xxxxxxx3212-return,IMPS BOUNCED
rev:imps 71041700064242 ref 014110409198,IMPS BOUNCED
imps/na/xxxx5524/rev/rrn:206408922479/r0000000000299086715/indian bank//pay forinstallment,IMPS BOUNCED
rev:imps 23760100005469 ref 725013529929,IMPS BOUNCED
rev:imps 23760100005469 ref 725013530276,IMPS BOUNCED
rev:imps 810200000207- 610213450464,IMPS BOUNCED
rev:imps 810200000207- 610213450666,IMPS BOUNCED
rev:imps 33146004 ref 711116718163,IMPS BOUNCED
rev:imps 02065001004027 ref 711516090178,IMPS BOUNCED
rev:imps 50099054890 ref 912013626391,IMPS BOUNCED
rev:imps 50099054890 ref 912013628135,IMPS BOUNCED
rev:imps 812501023000017 ref824321869253,IMPS BOUNCED
